620640 3180.15
17053 16282 17126
16890 16868 17213
15760 17382 17298
16103 16586 17839
16648 17064 17024
16722 17185 16866
16334 16784 17638
17007 16730 17322
16689 17005 16979
17063 16720 16921
16572 16651 17766
16587 17113 17189
16786 17531 16662
17056 16745 16834
16278 17440 17016
16394 17137 17262
16513 17021 17471
16617 17066 17085
16332 17030 17498
16900 17012 16945
16360 17525 16908
16124 17337 17540
16780 16790 17251
16197 16852 17678
16683 17036 17240
16533 16765 17540
16165 17148 17333
16948 16801 16972
16383 17565 16384
16417 16868 17534
16616 16925 17325
16398 16949 17552
16466 17088 17306
16707 16855 17494
16934 16906 16962
16839 16959 17185
16684 17192 16795
15974 16733 17692
16478 17422 17240
16705 17084 16960
16635 17148 16877
16607 17254 17079
16545 16862 17404
16902 17079 16673
16609 17116 16966
16607 16366 17551
16567 17072 17324
16804 16674 17431
16672 17106 17010
16658 17060 17031
16333 17179 17288
16553 17022 17350
16533 17086 17194
15994 17727 16255
16796 16920 17202
16978 16599 17383
16411 16661 17784
16316 17095 17415
