29526 1981.1
16652 17243 17226
16755 17080 17582
16693 17176 17487
17007 16673 17615
16777 17117 17527
17067 16912 17553
16961 16934 17640
16914 16812 17686
17032 17127 17305
17063 17068 17239
17087 17026 17298
16987 17151 17232
17108 16996 17396
17075 17141 17197
17049 16864 17565
17139 17019 17095
17077 17119 17161
17021 17084 17408
17046 17011 17514
16890 16995 17628
16943 16894 17663
16938 16958 17615
17019 17035 17606
17056 17043 17408
17036 16811 17605
17013 17060 17476
17023 17043 17492
16933 16938 17677
17119 16986 17443
16891 16977 17610
16836 17024 17607
16931 17121 17484
17026 16865 17582
16935 16745 17720
16801 16882 17682
17111 16861 17484
17077 16885 17515
16903 17141 17425
16934 17127 17418
16922 17145 17386
17035 17062 17365
17082 16947 17505
16821 17054 17622
16890 17160 17513
17124 16910 17474
16736 16846 17703
16849 16813 17686
17003 16929 17613
16981 16919 17614
16888 16787 17697
16791 17209 17316
17083 17047 17401
16692 16869 17712
16830 17040 17651
17085 17040 17486
16902 17153 17469
16958 17179 17338
17054 17061 17319
16802 16836 17682
16865 17111 17551
16940 16785 17684
16678 16888 17741
16984 17090 17507
16809 16780 17717
16841 16947 17677
16939 17084 17557
17108 16809 17542
16802 17135 17516
16728 16866 17711
17044 17162 17175
16936 17018 17608
16997 17075 17522
16746 17233 17401
16813 17206 17434
16819 17200 17233
16809 17216 17286
17043 17003 17564
16790 17223 17339
16845 16820 17715
16834 17176 17379
16766 16883 17697
16982 16739 17654
16803 16739 17801
16849 16544 17738
16823 16734 17752
16797 16856 17695
17025 17096 17388
16991 17086 17544
16730 17219 17402
16958 17119 17363
16785 17211 17421
16879 16951 17640
16963 16809 17644
16822 17177 17356
16667 17179 17469
16868 17221 17232
16904 17185 17308
16818 17180 17418
16805 17269 17207
16700 17227 17440
16825 17229 16924
16818 17112 17522
16992 16918 17633
17002 17083 17451
16959 16807 17652
16942 17049 17552
17004 17041 17510
16920 17135 17499
16857 17012 17615
16851 17058 17565
16706 16926 17693
17049 17054 17383
16886 17097 17524
16855 17040 17575
16940 16950 17645
16737 17164 17545
16975 17103 17497
17037 17021 17554
16979 17095 17483
17100 17013 17360
17142 16916 17450
17039 17030 17509
17127 16982 17346
16968 17138 17341
17186 16882 17356
17160 16849 17413
17130 16791 17505
17127 16723 17511
17114 16776 17510
17187 16887 17338
17298 16878 17312
17160 16957 17377
17108 16812 17504
16878 17022 17607
17154 16959 17372
16815 17070 17606
16722 17087 17651
16685 16992 17728
16773 17129 17550
16837 17014 17618
17200 16848 17368
17164 16880 17372
17163 16774 17451
17148 16823 17495
17097 16833 17538
17193 16952 17267
16851 17013 17671
17253 16746 17413
17254 16874 17317
17159 17007 17210
17238 16711 17499
17139 16669 17636
17233 16898 17309
16947 17112 17368
17239 16913 17259
17214 16833 17382
16976 17113 17323
16735 17176 17481
17256 16687 17382
17260 16817 17370
16824 17176 17405
17196 16850 17412
17177 16872 17362
17064 16961 17514
17241 16896 17234
17153 16890 17399
17117 17012 17273
17204 16851 17350
17161 16774 17470
17088 16933 17481
16837 17167 17514
16752 17128 17574
17150 16848 17436
17200 16842 17410
16921 17122 17423
17154 16977 17217
17144 16960 17261
17130 16963 17258
17229 16881 17346
16810 17078 17597
17059 17059 17300
17345 16672 17356
17201 16944 17328
17135 16953 17378
17207 16848 17363
17291 16650 17408
17204 16847 17400
17173 16755 17457
17215 16798 17401
17092 16684 17543
17226 16796 17439
17199 16728 17448
17062 17052 17353
17169 16761 17459
17001 17085 17485
17229 16803 17377
17135 16828 17486
17121 17105 17237
17076 17021 17500
16863 17168 17377
17200 16722 17463
17230 16928 17333
17176 16828 17445
17223 16836 17352
