378231 3060.27
16648 16291 17054
15898 17206 17131
15784 17449 16845
16643 16613 16981
16628 16913 17382
16188 17193 16945
16795 16942 16834
16927 16893 16858
16125 17200 17020
16383 17377 16676
15724 17670 16636
16623 16995 16997
16619 17180 17223
16318 17319 16906
16131 17519 16293
16473 17391 16164
16157 16922 17333
15924 17560 16164
16036 17251 16937
16377 17484 16772
16800 16918 16554
16815 17269 16076
15538 17418 17027
16199 16977 17291
16190 17233 16930
16093 17437 16863
16380 17424 16625
16881 17174 16442
17014 16537 16599
16194 17191 16947
16800 16957 16508
16031 17530 16475
16342 17229 16811
15912 16732 17514
16714 16932 16958
16756 16117 16903
16780 17370 16794
16002 17410 17091
