2668 2796.69
18972 17145 17115
18950 16912 17289
18875 17460 16809
17987 18146 17643
17711 17517 18376
17849 17325 18275
18809 17517 16831
18854 17447 16919
17790 18046 17753
17755 18082 17689
18137 18114 17337
17742 17789 18134
18828 16936 17517
17818 17804 18119
18094 18092 17378
17876 17962 17866
18942 16961 17327
17901 17943 17994
17805 17909 18005
17913 18022 17801
18915 17374 16948
18918 16913 17368
17996 18071 17736
18957 17116 17221
17993 17500 18245
18796 17536 16996
17973 17666 18231
18722 17684 16815
18879 17397 16987
18945 17189 17038
17960 17735 18259
18054 18060 17709
18464 17877 17167
18089 17615 18204
18554 17045 17893
18950 17295 16962
17948 17931 17873
17918 17924 17933
18605 16984 17851
18021 17556 18236
18115 18036 17615
18745 17537 17024
17875 17975 17868
18932 17168 17091
18588 17301 17726
18787 17490 17044
18710 17016 17678
17906 17926 17953
18415 17364 17977
18883 17232 17240
18954 17230 16975
18717 17286 17554
17932 17950 17929
18038 18013 17766
18921 17032 17323
18852 17181 17389
18144 17479 18219
18840 16998 17446
17863 17986 17888
17999 17855 17931
18220 17937 17531
18935 17050 17251
18294 17913 17480
18226 17541 18078
18910 16971 17409
18311 17236 18116
18164 17604 18092
18151 17554 18171
17956 17840 17986
18057 17843 17907
18278 17983 17500
18876 17008 17430
18866 17105 17296
17982 17783 18096
18780 17483 17161
17931 17450 18262
18314 17601 17859
17928 17769 18120
18894 17352 17055
18072 17917 17853
18392 17569 17780
18012 17574 18233
17856 17853 18111
18806 17461 17105
18214 17691 17923
18446 17163 18063
17997 18062 17665
18697 17241 17599
18660 17617 17148
18044 17841 17971
18064 17689 18114
18835 17036 17512
18140 17867 17860
18947 17148 17074
18871 17348 17139
18675 17565 17158
18031 18008 17833
17940 17764 18108
18237 17595 17946
17961 17674 18213
18615 17678 16979
18209 17823 17832
17991 17834 18021
18666 17079 17738
17966 17762 18121
18902 17020 17424
18830 17468 17008
18870 17131 17269
18335 17953 17198
18657 17072 17769
18414 17281 18026
18097 17815 17957
18269 17533 17983
18623 17663 17124
18634 17546 17302
18375 17455 17920
18873 16981 17463
18214 17958 17583
18534 17401 17682
18351 17931 17236
18381 17835 17414
17940 17887 18058
18440 17421 17886
18925 17184 17115
18013 17829 18089
18140 17482 18227
18305 17658 17817
18134 17526 18183
18118 17728 18036
17868 17969 17931
18579 17317 17704
18106 17599 18179
18395 17473 17826
18076 17819 17987
18085 18086 17604
18254 18016 17355
18631 17368 17582
18435 17694 17536
18239 17832 17798
17962 17906 17936
18026 17668 18157
18843 17094 17396
18114 18003 17629
18720 17000 17697
18824 17204 17328
18750 17387 17344
18770 17410 17259
18887 17210 17206
18277 17458 18067
18858 17266 17316
18050 17647 18188
18318 17416 18013
18607 17269 17694
18888 17292 17113
18190 17861 17692
18493 17502 17622
18774 17568 16922
18560 17714 17150
18171 17992 17572
18177 18008 17524
18905 17192 17210
18671 17157 17717
18439 17769 17468
18711 17573 17067
18908 17006 17376
18804 17258 17363
18361 17506 17812
18025 17738 18072
18290 17624 17912
18263 17545 17941
18235 17753 17881
18595 17055 17841
18358 17794 17579
18897 17111 17283
18044 17848 17918
18080 17766 18010
18627 17579 17360
18035 17758 18049
18399 17799 17446
18783 17391 17201
18830 17125 17448
18509 17745 17187
18913 17137 17183
18450 17660 17452
18501 17755 17020
18460 17308 17900
18122 17544 18195
18826 17128 17395
18600 17637 17228
18341 17425 17963
18170 17548 18162
18138 17702 18031
18724 17394 17340
18687 17560 17177
18067 17638 18139
18248 17584 18039
18242 17644 17909
18721 17152 17551
18807 17108 17495
18813 17360 17164
18816 17330 17231
18682 17486 17320
18329 17407 18043
18259 17651 17879
18873 17026 17438
18855 17119 17376
18927 17142 17172
18900 17102 17292
18692 17574 17062
18333 17859 17432
18366 17521 17791
18563 17722 17129
18684 17642 16937
18383 17720 17544
18774 17062 17574
18819 17493 16966
18893 17087 17331
18802 17264 17409
18740 17210 17539
18298 17739 17711
18873 17310 17190
18701 17568 17099
18669 17343 17507
18759 17391 17325
18324 17713 17760
18224 17312 18197
18736 17101 17616
18470 17761 17286
18016 17681 18169
18174 17883 17685
18904 17249 17137
18173 17921 17658
18672 17320 17512
18231 17620 17962
18653 17385 17487
18912 17276 17078
18601 17627 17262
18455 17414 17823
18836 17451 16936
18285 17504 17979
18753 17306 17437
18303 17897 17422
18191 17578 18053
17902 17987 17851
18685 17552 17216
18192 17699 17994
18522 17312 17792
18296 17923 17386
18132 17973 17612
18197 17857 17754
18286 17346 18167
18767 17547 16931
18602 17379 17548
18853 17283 17196
18199 18020 17475
18938 17165 17169
18637 17260 17648
18110 17796 17870
18318 17218 18099
18251 17744 17773
18232 17878 17670
18146 17928 17771
18070 17646 18126
18744 17550 17060
18206 17850 17707
18091 17994 17653
17867 18038 17785
18387 17865 17186
18266 17477 18056
18168 17680 17999
18185 17643 18000
18728 17450 17312
18746 17068 17662
17998 17710 18123
18937 17228 17080
18757 17189 17464
18756 16965 17597
18696 17113 17654
18458 17812 17234
18056 17837 18003
18051 17996 17845
18112 18083 17586
18486 17449 17762
18410 17558 17758
18158 17682 18005
18919 17207 17087
18705 17432 17404
18598 17262 17700
18575 17562 17443
18868 17090 17391
18178 17825 17830
18809 17087 17494
18301 17774 17594
18345 17356 18005
18117 17966 17659
18073 17999 17631
18598 17441 17503
18541 17730 17050
18363 17697 17708
18273 17686 17789
18255 17466 18083
18863 17359 17080
18319 17864 17529
18700 17512 17245
18582 17426 17608
18520 17528 17562
18122 18040 17426
18911 17058 17351
18706 17253 17580
18819 17382 17096
18530 17217 17838
18626 17255 17674
18497 17522 17594
18889 17092 17373
18551 17571 17458
18427 17581 17684
18609 17689 17155
18149 17559 18176
18647 17206 17660
18565 17385 17627
18308 17852 17575
18123 17705 18007
18462 17219 17967
18183 17547 18132
18128 17647 18111
18104 17373 18234
18843 16969 17513
18828 17273 17214
18535 17176 17882
18201 17802 17844
18292 17805 17577
18503 17655 17398
18618 17178 17749
18956 17161 17013
18511 17630 17478
18075 17903 17804
18640 17497 17459
18542 17403 17650
18540 17486 17602
18499 17471 17667
18430 17512 17732
18350 17440 17943
18326 17508 17893
18257 17798 17742
18732 17347 17349
18506 17335 17784
18403 17634 17745
18221 17892 17626
18569 17245 17806
18679 17047 17810
18510 17219 17875
18070 17909 17863
18406 17808 17438
18662 17588 17182
18454 17624 17619
18386 17885 17400
18222 17372 18154
18545 17728 17072
17983 17584 18216
18806 17075 17541
18679 17200 17636
18160 17941 17626
18678 17327 17440
18613 17305 17672
18425 17465 17887
18280 17445 18057
18901 17290 17015
18820 17335 17149
18791 17159 17532
18420 17404 17917
18560 17296 17748
18481 17333 17819
18076 17833 17950
18708 17223 17583
18864 17155 17285
18604 17430 17492
18175 17781 17871
18525 17652 17382
18610 17342 17637
18518 17213 17860
18033 17810 18011
18584 17607 17271
18355 17494 17841
18347 17735 17639
18083 17756 18038
18370 17316 18008
18099 17655 18097
18560 17339 17644
18670 17514 17309
18404 17786 17456
18344 17826 17470
18917 17265 17119
18812 17097 17463
18650 17474 17342
18592 17476 17516
18569 17140 17820
18484 17561 17590
18282 17945 17416
18546 17529 17490
18432 17225 18026
18231 17899 17529
17991 17902 17958
18658 17457 17371
18524 17634 17406
18476 17759 17273
18235 17609 17996
18818 17288 17277
18833 17415 17010
18694 17610 17058
18576 17331 17728
18272 17631 17916
18644 17298 17615
18569 17671 17255
18130 17669 18045
18537 17370 17753
18148 17649 18074
18204 17778 17849
18818 17065 17493
18666 17195 17727
18641 17172 17790
18546 17434 17518
18747 17099 17624
18665 17427 17415
18620 17590 17266
18130 17590 18147
18795 17089 17546
18831 17408 17085
18253 17447 18151
18526 17621 17352
18068 17972 17747
18790 17345 17170
18703 17322 17500
18530 17499 17560
18529 17381 17698
